KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
412;Taidekehystys, yo (Käsi- ja taideteollisuusalan perustutkinto);Konstinramning, st (Grundexamen inom hantverk och konstindustri);Taidekehystys, yo;Konstinramning, st;01.09.2008;
987;Talonrakennus ja ympäristösuunnittelu, yo;Husbyggnad och miljöplanering, st;Talonrakennus ja ympäristösuunnittelu,yo;Husbyggnad och miljöplanering, st;01.01.2011;
886;Talotekniikan perustutkinto, yo;Grundexamen inom husteknik, st;Talotekniikan perustutkinto, yo;Grex inom husteknik, st;01.01.1990;
039;Tanssialan perustutkinto, yo;Grundexamen i dans, st;Tanssialan pt, yo;Grundexamen i dans, st;01.01.2012;
532;Tarpeistonvalmistus, yo (Käsi- ja taideteollisuusalan perustutkinto);Rekvisitatillverkning, st (Grundexamen inom hantverk och konstindustri);Tarpeistonvalmistus, yo;Rekvisitatillverkning, st;01.01.1990;
402;Teatteri- ja esitystekniikka, yo (Audiovisuaalisen viestinnän perustutkinto);Teater- och scenteknik, st (Grundexamen i audiovisuell kommunikation);Teatteri- ja esitystekniikka,yo;Teater och scenteknik, st;18.08.2008;
468;Tekniikan koulutus, yo;Teknisk utbildning, st;Tekniikan koulutus, yo;Teknisk utbildning, st;20.02.2009;
015;Tekstiili- ja vaatemuotoilu, yo (Käsi-ja taideteollisuusalan perustutkinto);Textil- och beklädnadsdesign, st (Grundexamen inom hantverk och konstindustri);Tekstiili- ja vaatemuotoilu, yo;Textil- och beklädnadsdesign, st;01.01.2013;
188;Tekstiili- ja vaatetusala, yo  (Käsi- ja taideteollisuusalan perustutkinto);Textil- och beklädnadsbranschen, st (Grundexamen inom hantverk och konstindustri);Tekstiili- ja vaatetusala, yo;Textil- och beklädnadsbranschen, st;01.01.2012;
187;Tekstiili- ja vaatetusalan perustutkinto, yo;Grundexamen inom textil- och beklädnadsbranschen, st;Tekstiili- ja vaatetusalan pt, yo;Grex inom textil- o. beklädnadsbran., st;03.07.2008;
550;Tekstiiliala, yo (Käsi- ja taideteollisuusalan perustutkinto);Textil, st (Grundexamen inom hantverk och konstindustri);Tekstiiliala, yo;Textil, st;01.01.1990;
445;Tekstiilihuollon koulutusohjelma, yo (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för textilvård, st (Grundexamen inom textil- och beklädnadsbranschen);Tekstiilihuollon ko, yo;Up för textilvård, st;04.09.2008;
053;Tekstiilimuotoilu- ja sisustusala, yo (Käsi- ja taideteollisuusalan perustutkinto);Textil formgivning och inredning, st (Grundexamen inom hantverk och konstindustri);Tekstiilimuotoilu- ja sisustusala, yo;Textil formgivning och inredning, st;01.01.2013;
442;Tekstiilitekniikan koulutusohjelma, yo (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för textilteknik, st (Grundexamen inom textil- och beklädnadsbranschen);Tekstiilitekniikan ko, yo;Up för textilteknik, st;04.09.2008;
178;Tieto- ja kirjastopalvelujen koulutusohjelma, yo (Liiketalouden perustutkinto);Utbildningsprogrammet för informations- och bibliotekstjänst, st (Grundexamen inom företagsekonomi);Tieto- ja kirjastopalvelujen ko. yo;Up för informations- och bibl.tjänst, st;03.07.2008;
143;Tieto- ja tietoliikennetekniikan perustutkinto, yo;Grundexamen inom datateknik och datakommunikationsteknik, st;Tieto- ja tietoliikennetekniikan pt, yo;Grex inom data- o. datakommun.teknik, st;03.07.2008;
516;Tieto- ja viestintätekniikan perustutkinto, yo;Grundexamen i informations- och kommunikationsteknik, st;Tieto- ja viestintätekniikan pt, yo;Grex i informations o. kommun.teknik, st;28.02.2010;
415;Tilarakennus, yo (Käsi- ja taideteollisuusalan perustutkinto);Utrymmesbyggnad, st (Grundexamen inom hantverk och konstindustri);Tilarakennus, yo;Utrymmesbyggnad, st;01.09.2008;
006;Tilasuunnittelu ja toteutus, yo (Käsi- ja taideteollisuusalan perustutkinto);Rumsplanering och genomförande, st (Grundexamen inom hantverk och konstindustri);Tilasuunnittelu ja toteutus, yo;Rumsplanering och genomförande, st;01.01.2013;
410;Tilauspuusepäntyö, yo (Käsi- ja taideteollisuusalan perustutkinto);Bestllningssnickare, st (Grundexamen inom hantverk och konstindustri);Tilauspuusepäntyö, yo;Beställningssnickare, st;01.09.2008;
158;Tuotteen suunnittelun ja valmistuksen koulutusohjelma, yo (Käsi- ja taideteollisuusalan perustutkinto);Utbildningsprogrammet för produktplanering och -tillverkning, st (Grundexamen inom hantverk och konstindustri);Tuotteen suunnittelun ja valm. ko, yo;Up för produktplan. o. -tillverkning, st;03.07.2008;
943;Turkistalouden koulutusohjelma, yo (Maatalousalan perustutkinto);Utbildningsprogrammet för pälsdjursuppfödning, st (Grundexamen inom lantbruksbranschen);Turkistalouden koulutusohjelma, yo;Up för päsldjursuppfödning, st;01.01.1990;
505;Turvallisuusalan perustutkinto, yo;Grundexamen inom säkerhetsbranschen, st;Turvallisuusalan perustutkinto, yo;Grex inom säkerhetsbranschen, st;01.01.1990;
772;Ulkoasun toteutuksen koulutusohjelma, yo (Painoviestinnän perustutkinto);Utbildningsprogrammet för layout, st (Grundexamen i grafisk kommunikation);Ulkoasun toteutuksen koulutusohjelma, yo;Up för layout, st;01.01.1990;
350;Uusi kuva- ja mediataide, yo (Kuvallisen ilmaisun perustutkinto);Ny bild- och mediakonst, st (Grundexamen i visuell framställning);Uusi kuva- ja mediataide, yo;Ny bild- och mediakonst, st;01.01.1990;
421;Uusmedia, yo (Audiovisuaalisen viestinnän perustutkinto);Nymedia, st (Grundexamen i audiovisuell kommunikation);Uusmedia, yo;Nymedia, st;01.09.2008;
439;Vaatetuksen koulutusohjelma, yo (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för beklädnad, st (Grundexamen inom textil- och beklädnadsbranschen);Vaatetuksen ko, yo;Up för beklädnad, st;04.09.2008;
565;Vaatetusala, yo (Käsi- ja taideteollisuusalan perustutkinto);Beklädnad, st (Grundexamen inom hantverk och konstindustri);Vaatetusala, yo;Beklädnad, st;01.01.1990;
057;Vaatetusmuotoilu- ja stailausala, yo (Käsi- ja taideteollisuusalan perustutkinto);Beklädnadsdesign och styling, st (Grundexamen inom hantverk och konstindustri);Vaatetusmuotoilu- ja stailausala, yo;Beklädnadsdesign och styling, st;01.01.2013;
459;Valokuvauksen koulutusohjelma, yo (Kuvallisen ilmaisun perustutkinto);Utbildningsprogrammet för fotografering, st (Grundexamen i visuell framställning);Valokuvauksen ko, yo;Up för fotografering, st;12.05.2009;
363;Valokuvaus, yo (Audiovisuaalisen viestinnän perustutkinto);Fotografering, st (Grundexamen i audiovisuell kommunikation);Valokuvaus, yo;Fotografering, st;01.01.1990;
654;Veneenrakennuksen perustutkinto, yo;Grundexamen inom båtbyggnad, st;Veneenrakennuksen perustutkinto, yo;Grex inom båtbyggnad, st;01.01.1990;
246;Veneenrakennus, yo (Käsi- ja taideteollisuusalan perustutkinto);Båtbygge, st (Grundexamen inom hantverk och konstindustri);Veneenrakennus, yo;Båtbygge, st;01.01.1990;
653;Verhoilu- ja sisustusalan perustutkinto, yo;Grundexamen inom tapetsering och inredning, st;Verhoilu- ja sisustusalan perustutk, yo;Grex inom tapetsering och inredning, st;01.01.1990;
295;Videoassistentti, yo (Audiovisuaalisen viestinnän perustutkinto);Videoassistent, st (Grundexamen i audiovisuell kommunikatio);Videoassistentti, yo;Videoassistent, st;01.01.1990;
447;Viheralan koulutusohjelma, yo (Puutarhatalouden perustutkinto);Utbildningsprogrammet för grönsektorn, st (Grundexamen i trädgårdsskötsel);Viheralan ko, yo;Up för grönsektorn, st;04.09.2008;
024;Viherrakennus, yo (Käsi- ja taideteollisuusalan perustutkinto);Grönområdesplanering, st (Grundexamen inom hantverk och konstindustri);Viherrakennus, yo;Grönområdesplanering, st;01.01.2011;
510;Viittomakielisen ohjauksen perustutkinto, yo;Grundexamen i teckenspråkshandledning, st;Viittomakielisen ohjauksen pt, yo;Grex i teckenspråkshandledning, st;01.01.1990;
116;Visualisti, yo (Käsi- ja taideteollisuusalan perustutkinto);Visualist, st (Grundexamen inom hantverk och konstindustri);Visualisti, yo;Visualist, st;01.01.2011;
952;Ympäristön suunnittelun ja rakentamisen koulutusohjelma, yo (Käsi- ja taideteollisuusalan perustutkinto);Utbildningsprogrammet för miljöplanering och -byggande, st (Grundexamen inom hantverk och konstindustri);Ympäristön suun. ja rakentamisen ko, yo;Up för miljöplanering och byggande, st;01.01.1990;
419;Ääni, yo (Audiovisuaalisen viestinnän perustutkinto);Ljud, st (Grundexamen i audiovisuell kommunikation);Ääni, yo (audiovisuaalisen viest. pt);Ljud, st;01.09.2008;
611;Äänituotanto, yo (Audiovisuaalisen viestinnän perustutkinto);Ljudproduktion, st (Grundexamen i audiovisuell kommunikation);Äänituotanto, yo (audio. vies. pt);Ljudproduktion, st (grex i audiov. kom.);17.08.2009;
