KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
416;Liikkuva kuva, pk (Audiovisuaalisen viestinnän perustutkinto);Rörlig bild, gr (Grundexamen i audiovisuell kommunikation);Liikkuva kuva, pk;Rörlig bild, gr;01.09.2008;
115;Liikunnanohjauksen perustutkinto, pk;Grundexamen i idrott, gr;Liikunnanohjauksen perustutkinto, pk;Grundexamen i idrott, gr;01.01.2008;
124;Logistiikan perustutkinto, pk;Grundexamen i logistik, gr;Logistiikan perustutkinto, pk;Grex i logistik, gr;01.01.1990;
174;Luonto- ja ympäristöalan perustutkinto, pk;Grundexamen i natur och miljö, gr;Luonto- ja ympäristöalan pt, pk;Grex i natur och miljö, gr;01.01.1990;
153;Lääkealan perustutkinto, pk;Grundexamen inom läkemedelsbranschen, gr;Lääkealan perustutkinto, pk;Grex inom läkemedelsbranschen, gr;01.01.1990;
612;Maalaus ja animaatio, pk (Kuvallisen ilmaisun perustutkinto);Måleri och animation, gr (Grundexamen i visuell framställning);Maalaus ja animaatio, pk;Måleri och animation, gr;17.08.2009;
798;Maalausala, pk (Käsi- ja taideteollisuusalan perustutkinto);Målning, gr (Grundexamen inom hantverk och konstindustri);Maalausala, pk;Målning, gr;01.01.1990;
862;Maanmittausalan perustutkinto, pk;Grundexamen inom lantmäteribranschen, gr;Maanmittausalan perustutkinto, pk;Grex inom lantmäteribranschen, gr;01.01.1990;
769;Maarakennuskoneenkuljetuksen koulutusohjelma, pk (Rakennusalan perustutkinto);Utbildningsprogrammet för schaktningsmaskintransport, gr (Grundexamen inom byggnadsbranschen);Maarakennuskoneenkuljetuksen ko, pk;Up för schaktningsmaskintransport, gr;10.09.2008;
149;Maatalousalan perustutkinto, pk;Grundexamen inom lantbruksbranschen, gr;Maatalousalan perustutkinto, pk;Grex inom lantbruksbranschen, gr;01.01.1990;
406;Mallinrakennus, pk (Käsi- ja taideteollisuusalan perustutkinto);Modellbygge, gr (Grundexamen inom hantverk och konstindustri);Mallinrakennus, pk;Modellbygge, gr;01.01.1990;
335;Matkailualan perustutkinto, pk;Grundexamen i turism, gr;Matkailualan perustutkinto, pk;Grex i turism, gr;01.01.1990;
225;Matkailupalvelujen koulutusohjelma, pk (Matkailualan perustutkinto);Utbildningsprogrammet för turismservice, gr (Grundexamen i turism);Matkailupalvelujen ko, pk;Up för turismservice, gr;03.07.2008;
245;Matkailupalvelujen myynnin ja tietopalvelujen koulutusohjelma, pk (Matkailualan perustutkinto);Utbildningsprogrammet för försäljning av turismservice och informationstjänst, gr (Grundexamen i turism);Matkailupalv.myynnin ja tietopalv.ko, pk;Up förs. av turismserv. o inf.tjänst, gr;03.07.2008;
867;Meijerialan koulutusohjelma, pk (Elintarvikealan perustutkinto);Utbildningsprogrammet för meijeribranschen, gr (Grundexamen inom livsmedelsbranschen);Meijerialan koulutusohjelma, pk;Up för meijeribranschen, gr;01.01.1990;
868;Merenkulkualan perustutkinto, pk;Grundexamen i sjöfart, gr;Merenkulkualan perustutkinto, pk;Grex i sjöfart, gr;01.01.1990;
261;Metalliala, pk (Käsi- ja taideteollisuusalan perustutkinto);Metall, gr (Grundexamen inom hantverk och konstindustri);Metalliala, pk;Metall, gr;01.01.1990;
229;Metsäalan perustutkinto, pk;Grundexamen inom skogsbranschen, gr;Metsäalan perustutkinto, pk;Grex inom skogsbranschen, gr;01.01.1990;
211;Metsäkoneasennuksen koulutusohjelma, pk (Metsäalan perustutkinto);Utbildningsprogrammet för montering av skogsmaskiner, gr (Grundexamen inom skogsbranschen);Metsäkoneasennuksen ko, pk;Up för montering av skogsmaskiner, gr;01.01.1990;
764;Metsäkoneenkuljetuksen koulutusohjelma, pk (Metsäalan perustutkinto);Utbildningsprogrammet för körning av skogsmaskiner, gr (Grundexamen inom skogsbranschen);Metsäkoneenkuljetuksen ko., pk;Up för körning av skogsmaskiner, gr;01.01.1990;
522;Muinaistekniikka, pk (Käsi- ja taideteollisuusalan perustutkinto);Forntida teknik, gr (Grundexamen inom hantverk och konstindustri);Muinaistekniikka, pk;Forntida teknik, gr;01.01.1990;
379;Muotoilu ja mallintaminen, pk (Käsi- ja taideteollisuusalan perustutkinto);Formgivning och modelltillverkning, gr (Grundexamen inom hantverk och konstindustri);Muotoilu- ja mallintaminen, pk;Formgivning och modelltillverkning, gr;01.01.1990;
112;Muovi- ja kumitekniikan perustutkinto, pk;Grundexamen i plast- och gummiteknik, gr;Muovi- ja kumitekniikan perustutkinto,pk;Grex i plast- och gummiteknik, gr;01.01.1990;
460;Musiikin koulutusohjelma, pk (Musiikkialan perustutkinto);Utbildningsprogrammet för musik, gr (Grundexamen i musik);Musiikin ko, pk;Up för musik, gr;12.05.2009;
463;Musiikkiteknologian koulutusohjelma, pk (Musiikkialan perustutkinto);Utbildningsprogramet för musikteknologi, gr (Grundexamen i musik);Musiikkiteknologian ko, pk;Up för musikteknologi, gr;12.05.2009;
557;Neulevaatetus, pk (Käsi- ja taideteollisuusalan perustutkinto);Stickning, gr (Grundexamen inom hantverk och konstindustri);Neulevaatetus, pk;Stickning, gr;01.01.1990;
173;Nuoriso- ja vapaa-ajan ohjauksen perustutkinto, pk;Grundexamen i ungdoms- och fritidsinstruktion, gr;Nuoriso- ja vapaa-ajan ohjauksen pt, pk;Grex i ungdoms o. fritidsinstruktion, gr;01.01.1990;
119;Nykytanssi, pk (Tanssialan perustutkinto);Modern dans, gr (Grundexamen i dans);Nykytanssi, pk;Modern dans, gr;30.06.2008;
799;Näyttely- ja messurakentaminen, pk (Käsi- ja taideteollisuusalan perustutkinto);Utställnings- och mässbyggnad, gr (Grundexamen inom hantverk och konstindustri);Näyttely- ja messurakentaminen, pk;Utställnings- och mässbyggnad, gr;01.01.1990;
370;Ohjaustoiminta, pk (Käsi- ja taideteollisuusalan perustutkinto);Handledning, gr (Grundexamen inom hantverk och konstindustri);Ohjaustoiminta, pk;Handledning, gr;01.01.1990;
767;Painotekniikan koulutusohjelma, pk (Painoviestinnän perustutkinto);Utbildningsprogrammet för tryckeriteknik, gr (Grundexamen i grafisk kommunikation);Painotekniikan koulutusohjelma, pk;Up för tryckeriteknik, gr;01.01.1990;
953;Painoviestinnän perustutkinto, pk;Grundexamen i grafisk kommunikation, gr;Painoviestinnän perustutkinto, pk;Grex i grafisk kommunikation, gr;01.01.1990;
275;Peliala, pk (Audiovisuaalisen viestinnän perustutkinto);Spelbranschen, gr (Grundexamen i audiovisuell kommunikation);Peliala, pk (Audiovis. viestinnän pt);Spelbranschen, gr (Grex i audiov. kom.);18.08.2008;
466;Pianonvirityksen koulutusohjelma, pk (Musiikkialan perustutkinto);Utbildningsprogrammet för pianostämmning, gr (Grundexamen i musik);Pianonvirityksen ko, pk;Up för pianostämmning, gr;12.05.2009;
864;Pintakäsittelyalan perustutkinto, pk;Grundexamen inom ytbehandlingsbranschen, gr;Pintakäsittelyalan perustutkinto, pk;Grex inom ytbehandlingsbranschen, gr;01.01.1990;
470;Prosessiteollisuuden perustutkinto, pk;Grundexamen inom processindustrin, gr;Prosessiteollisuuden pt, pk;Grex inom processindustrin, gr;13.05.2009;
